Years at Experience,"Annual Gross Salary (in €, otherwise specify)",Gender,Country
16,65000,0,Estonia
4,62662,0,United Kingdom
12,90000,0,Norway
4,43431,0,United Kingdom
3,70835,0,United Kingdom
10,75000,0,Germany
0,34873,0,United Kingdom
5,52000,0,Netherlands
2,111600,0,United Kingdom
1,102000,0,Switzerland
3,48400,0,Italy
4,41956,0,United Kingdom
15,60000,0,Finland
10,65000,0,Germany
4,55000,0,United Kingdom
6,625000,2,United Kingdom
7,28000,0,Poland
6,100000,0,Germany
3,78000,0,Romania
6,32000,0,Germany
15,42000,0,Slovenia
5,22910,0,Greece
10,36000,0,Croatia
7,75000,0,Germany
4,60000,0,Netherlands
10,42000,0,United Kingdom
1.8,33000,0,France
5.5,53000,0,Germany
10,64000,0,Norway
4,37000,0,Spain
2,47500,0,Germany
10,48000,0,Italy
4,46913,0,United Kingdom
5,63000,0,Germany
10,59656,0,United Kingdom
9,29000,0,Estonia
7,43000,0,Spain
12,40000,0,Italy
8,55000,0,Finland
2,38142,0,United Kingdom
6,48000,0,Portugal
15,52000,0,Germany
7,22000,0,Slovakia
8,40000,0,Germany
3,55000,0,Germany
10,69000,0,Austria
5,80750,2,Switzerland
23,84703,0,Denmark
10,40000,0,Netherlands
8,110464,0,United Kingdom
1,48500,0,United Kingdom
4,54550,0,United Kingdom
3,42000,0,Finland
4,50000,0,Germany
8,48000,0,Croatia
16,102000,0,Belgium
7,56732,0,United Kingdom
9,16800,0,Romania
10,55000,1,United Kingdom
8,38000,0,Portugal
10,63000,0,Germany
3,20000,0,Latvia
1,62000,0,Switzerland
3,50000,0,Germany
10,24000,0,Romania
15,60000,0,United Kingdom
7,30000,0,France
5,50000,0,United Kingdom
9,32000,0,Italy
6,12450,0,Czech Republic
1,44000,0,Sweden
3,45000,0,France
5,50566,0,United Kingdom
2,50000,0,United Kingdom
5,70151,0,Germany
7,48000,0,Austria
0,36000,0,Germany
5,60000,0,Poland
5,47000,0,France
4,22500,0,Slovenia
0,42000,0,Netherlands
6,56400,0,Netherlands
15,65000,0,Denmark
20,43000,0,United Kingdom
8,48000,0,Italy
5,54000,0,Germany
10,33629,0,Poland
1,48000,0,Ireland
10,42000,0,Bulgaria
4,50000,0,France
35,140000,0,Denmark
2,17000,0,Lithuania
4,35000,0,Spain
5,75000,0,Czech Republic
1.5,15400,0,Poland
12,23700,0,Lithuania
4,65000,0,France
9,120000,0,Spain
6,37052,0,United Kingdom
1,40000,0,France
5,51000,0,France
22,820000,0,Norway
5,49095,0,United Kingdom
3,41000,0,Germany
3,16000,0,Netherlands
18,45000,0,Greece
4,37000,0,Czech Republic
10,50500,0,Sweden
19,80000,0,France
13,42000,0,France
12,38000,0,Romania
1.5,20000,0,Hungary
3,40000,0,Netherlands
1,22100,0,Italy
12.5,250000,0,Netherlands
4,40800,0,Serbia
4,33000,0,Italy
3,24400,0,Romania
6,58000,0,Austria
7,47000,0,Austria
12,130000,0,Spain
4,52854,0,United Kingdom
7,30000,0,Slovakia
2.5,24800,0,Poland
3,28800,0,Slovakia
8,85000,0,Ireland
2,14000,0,Italy
13,44400,0,Romania
4,35774,0,United Kingdom
0,39200,0,Austria
2,35000,0,France
6,60000,0,Germany
1,29000,0,Finland
3,34000,0,France
4,55000,0,Germany
10,45000,0,Poland
3,26000,0,France
8,50000,0,Finland
2,49040,0,United Kingdom
15,36000,0,Spain
2,54000,0,United Kingdom
8,65000,0,Spain
10,50000,0,France
9,71925,0,United Kingdom
15,136375,0,United Kingdom
7,90000,0,United Kingdom
3,30000,0,Italy
4,36000,0,Netherlands
9,141000,0,United Kingdom
18,90000,0,Ireland
1,30600,0,France
6,65000,0,Germany
4,36000,1,Serbia
4,66000,0,France
15,72000,0,Luxembourg
10,65000,0,Germany
1,21795,1,United Kingdom
8,48604,0,United Kingdom
8,55000,0,Germany
2,18000,1,Romania
5,50000,0,United Kingdom
2.5,28236,0,United Kingdom
6,142800,0,Denmark
6,43800,0,France
3,50000,0,Germany
5,68000,0,Germany
12,116626,0,Switzerland
2,65000,0,Austria
6,36000,0,Portugal
2.5,45000,0,United Kingdom
10,52309,0,United Kingdom
10,56000,0,Netherlands
6,48000,0,Denmark
3,20000,0,Poland
3,22128,0,Romania
5,31000,0,Italy
5,48000,0,Germany
5,57758,0,United Kingdom
5,58000,0,Germany
0,53000,0,France
5,28000,0,Ireland
2,26400,0,Finland
3,28000,0,Slovakia
3.5,60000,0,Germany
2,32000,0,United Kingdom
10,60000,0,Germany
5,35000,0,United Kingdom
10,97000,0,Germany
5,67382,0,United Kingdom
17,50000,0,Italy
3,45000,0,Netherlands
0.5,38049,1,United Kingdom
3,26500,1,Italy
1,44000,0,Netherlands
7,54000,0,Romania
5,43200,0,Finland
7,90000,0,Ireland
3,40000,0,France
0,85000,0,Switzerland
2,41956,0,United Kingdom
12,75000,0,Finland
2,40000,0,United Kingdom
10,57000,0,Sweden
6,60000,0,Germany
3,48000,0,Bulgaria
5,52000,2,Netherlands
3,24000,0,Italy
2,47300,0,France
19,76600,0,Sweden
6.5,50000,0,Finland
0,45000,0,France
8,41000,0,Belgium
3,50000,1,Spain
4,26000,0,Spain
12,60000,0,Poland
10,110000,0,Switzerland
25,130000,0,United Kingdom
2.5,38400,0,Germany
3,29616,0,France
4,48000,0,Germany
5,61398,0,Sweden
6,43743,0,Sweden
8,51805,0,Poland
8,60000,0,Netherlands
6,51000,0,Netherlands
7,24000,0,Spain
15,65000,0,Germany
4,70000,0,Germany
5,100000,0,Netherlands
4,55000,0,Germany
10,59000,0,Germany
4,45904,1,Netherlands
11,57000,0,Netherlands
7,42000,0,Slovenia
4,55000,0,Germany
10,51600,0,Netherlands
0,20000,0,Hungary
10,33000,0,Italy
8,50000,0,Germany
15,60000,0,Netherlands
2,30000,0,United Kingdom
4,29447,0,Poland
7,76000,0,United Kingdom
10,33600,1,Romania
1.5,24000,0,Finland
4,23900,0,France
3,43591,0,United Kingdom
3,60000,0,Germany
4,14000,0,Sweden
13,88000,0,Germany
5,444000,0,Sweden
5,59000,0,France
3,20000,0,Romania
10,48000,0,Sweden
7,23150,0,Portugal
11,70000,0,Germany
10,72000,0,Germany
2,53170,0,Sweden
5,17000,0,Romania
2,20000,0,Spain
4,37000,0,Finland
10,48000,0,Germany
12,31000,0,Italy
1,15000,0,Italy
3,50500,0,France
5,100000,0,France
4,32540,0,United Kingdom
16,50000,0,Spain
6,70000,2,Germany
10,42000,0,Germany
10,47000,0,Germany
5,54000,0,Finland
7,116000,0,Germany
3,40000,0,Netherlands
7,65000,0,Germany
12,110000,0,Netherlands
4,38142,0,United Kingdom
12,70000,0,Germany
20,82000,0,Netherlands
8,45600,0,Belgium
7,47000,0,Ireland
3,18000,0,Greece
17,56000,0,Germany
15,60000,0,Finland
5,23800,0,Lithuania
2.5,24000,0,Estonia
2,28062,0,United Kingdom
8,72000,0,Netherlands
2,42000,0,Germany
4,60000,0,Austria
6,22700,0,Lithuania
5,70000,0,France
20,113996,0,Switzerland
7,160000,0,Germany
8,60000,0,Germany
2,22000,0,Spain
6,35418,0,United Kingdom
3,81733,0,United Kingdom
14,50000,0,Croatia
10,30000,0,Poland
6,36000,0,Estonia
1,38142,1,United Kingdom
6,30000,0,Spain
15,50000,0,Luxembourg
2,36000,0,France
5,36000,0,Bulgaria
13,66000,0,Portugal
10,49000,0,Austria
20,80000,0,Ireland
15,36000,0,Italy
2,14000,0,Greece
15,66000,0,Italy
1,55000,0,United Kingdom
6,40000,0,United Kingdom
20,150000,0,United Kingdom
6,56000,0,Germany
4,50000,0,Ireland
3,34104,0,Belgium
0,12000,0,Slovakia
10,108000,0,Switzerland
21,42000,0,Spain
5,30000,0,United Kingdom
0,36000,0,Finland
15,62031,0,Sweden
5,50400,0,Germany
2,24000,0,Slovakia
20,100000,0,United Kingdom
10,60000,0,Germany
3,51630,0,Denmark
2,45500,2,Sweden
7,43000,0,United Kingdom
10,36992,0,Poland
3,38142,0,United Kingdom
0,24000,0,Belgium
4,39000,0,Netherlands
5,54000,0,Germany
5,54489,0,United Kingdom
5,48000,0,Finland
4,68000,0,Ireland
9,60000,0,United Kingdom
10,60000,0,Germany
3.5,38142,0,United Kingdom
4,42000,0,Germany
5,50000,0,Ireland
4,28000,0,Bulgaria
7,40800,1,Estonia
3,60000,0,Sweden
3,19680,0,Slovakia
1,14400,0,Italy
2,90000,0,Switzerland
4,61700,0,Norway
8,36000,0,Sweden
1.5,40000,0,France
18,30000,0,Serbia
6,75000,2,Netherlands
3,28000,0,Poland
4,51000,0,France
8,77000,0,Denmark
5,38000,0,Sweden
10,96000,0,Netherlands
7,45000,0,Italy
7,60000,0,Austria
10,54000,0,Germany
10,86000,0,Switzerland
8,55000,0,France
5,27930,0,Austria
7,30000,2,Bulgaria
1,19616,0,United Kingdom
4,34800,0,Romania
8,68000,0,Germany
5,35000,0,France
3,27000,0,Italy
15,53400,0,Italy
15,63000,2,Netherlands
12,65000,0,United Kingdom
10,42500,0,Spain
6,60000,2,Germany
10,36000,0,Netherlands
5,47473,0,Sweden
17,30000,0,Italy
6,48000,0,Lithuania
3,90000,1,United Kingdom
4,48528,0,Sweden
4,34000,0,Spain
5,24000,0,Spain
9,33000,0,Spain
5,49000,0,United Kingdom
6,50000,0,France
5,90000,0,Austria
4,37000,0,Finland
6,31000,0,Italy
10,80000,0,Germany
15,50000,0,Greece
20,63000,0,Sweden
5,80000,0,Germany
4,38000,0,Poland
18,70915,0,United Kingdom
4,35000,0,France
6,42000,0,France
20,120000,0,Sweden
6,50000,0,Germany
11,73500,0,Netherlands
12,60000,0,Austria
10,60000,0,Malta
2,23040,0,Netherlands
10,14000,0,Portugal
15,36003,0,United Kingdom
1,43591,0,United Kingdom
1,15000,0,Poland
13,54000,0,Sweden
3,45000,0,Germany
3,55000,0,Ireland
8,48000,0,Netherlands
6,120000,0,Germany
4,56000,0,Austria
3,50130,0,United Kingdom
5,30000,0,France
8,55000,0,Belgium
5,51000,0,France
15,35000,0,Spain
6,48000,0,Germany
7,15000,0,United Kingdom
1,27000,0,Belgium
21,28000,0,Austria
5,84396,0,Sweden
3,45000,0,Ireland
0,36000,0,Finland
4,33000,0,Spain
11,95000,0,Norway
3,44790,0,Sweden
10,94704,0,Switzerland
4,71000,0,Denmark
0,70000,0,United Kingdom
6,28000,0,Italy
3,18880,0,Cyprus
0,20000,0,France
6,35400,0,Sweden
5,60000,0,Romania
4,33000,0,Ireland
2,40867,0,United Kingdom
15,220000,2,Belgium
15,44000,0,Greece
4,30000,0,Serbia
2,32500,0,France
1,32000,0,Ireland
6,26000,0,Bulgaria
2,41204,0,Sweden
3,43640,0,United Kingdom
2,117701,0,Germany
10,57758,0,United Kingdom
20,80000,0,Ireland
5,49040,0,United Kingdom
10,65000,0,France
4,72000,0,Germany
8,70000,0,Germany
1.5,47598,0,Denmark
13,35400,0,Estonia
15,120000,0,Germany
4,60000,0,Germany
16,60000,0,Germany
6,38000,0,Italy
5,48000,1,Netherlands
0.5,25200,0,France
3,31000,0,Poland
10,63500,0,Netherlands
6,49200,0,France
3,39000,0,Portugal
3,26666,0,Romania
2,34800,0,France
8,60000,0,France
5,59640,0,United Kingdom
4,29000,1,France
1,43000,0,United Kingdom
5,49050,0,Ireland
5,20000,0,Spain
8,61027,0,United Kingdom
5,50000,0,Belgium
10,70000,0,Germany
8,61800,0,Netherlands
0,34039,0,United Kingdom
10,47473,0,Sweden
14,120010,0,United Kingdom
6,32000,0,Spain
1,43380,0,United Kingdom
2,22500,0,Portugal
5,83500,0,United Kingdom
6,52000,0,Germany
2,40340,1,Sweden
8,75000,0,Germany
20,72000,0,Finland
15,84000,2,France
12,110000,0,Belgium
2,45000,0,Germany
10,60005,0,United Kingdom
2,30000,0,Spain
1,59500,0,Denmark
5,39600,0,Lithuania
6,37221,0,Poland
2,49040,0,United Kingdom
5,25000,0,France
10,36000,0,Malta
4,70518,0,Norway
5,66000,0,France
6,58000,0,Ireland
2,32000,0,France
10,70000,0,Netherlands
20,54000,0,Netherlands
1,36000,0,France
2.5,48000,0,Finland
0.5,45000,0,Germany
3,26000,2,France
6,54000,0,Germany
10,99500,0,Ireland
10,66858,0,United Kingdom
5,103645,2,United Kingdom
1,46000,0,United Kingdom
10,55000,0,Netherlands
9,77000,0,Denmark
6,46000,0,Germany
3,56000,0,Norway
4.5,48300,0,France
3,62000,0,United Kingdom
10,47000,0,Lithuania
12,27091,0,Poland
7,60000,0,Netherlands
20,57400,0,Austria
2,21000,0,Croatia
5,92735,0,United Kingdom
10,58000,0,Germany
9,52000,0,France
13,69000,0,Poland
15,102000,0,Ireland
10,68000,0,United Kingdom
7,49040,0,United Kingdom
5,108977,0,United Kingdom
4,44400,0,Germany
20,75653,0,Norway
3,22800,1,Romania
1,68000,0,Germany
5,59938,0,United Kingdom
5.7,51000,0,Netherlands
10,680000,0,Germany
2,35000,1,France
4,56967,0,Sweden
10,24745,0,Czech Republic
18,57600,0,Spain
15,50000,0,France
16,25000,0,Spain
10,48000,0,Italy
10,75000,0,Germany
1,33000,0,Netherlands
5,40000,0,Germany
7,36800,0,Croatia
13,60000,0,Luxembourg
6,60000,0,Germany
2,45000,0,France
8,24000,0,Poland
3,27000,0,Italy
0.5,35000,0,France
4,35000,0,Estonia
8,55000,0,Germany
2,25000,0,Italy
4,58000,0,Malta
5,46000,0,Ireland
2,53000,0,Germany
5,31200,0,Finland
8,55000,0,Czech Republic
0.75,18000,0,Spain
2,17354,0,United Kingdom
5,37000,0,Italy
3,32000,0,Italy
5,152568,0,United Kingdom
8,40000,0,Netherlands
6,44000,0,France
10,98324,0,Switzerland
6,65000,1,Austria
1,38000,0,France
2,45000,0,Netherlands
5,54215,0,United Kingdom
10,63605,0,Poland
2.5,25790,0,Poland
8,26000,0,Spain
3,48000,0,Sweden
5,41411,0,United Kingdom
13,82000,0,Germany
15,57000,0,Bulgaria
25,20000,0,Bulgaria
1,45000,0,Ireland
4,52000,0,Austria
5,30000,1,Spain
3,53000,0,Germany
6,33000,0,Italy
10,49400,0,Belgium
13,62000,0,Germany
8,85000,0,Germany
4,22500,0,Poland
12,36000,0,Serbia
2,35000,0,Ireland
9.5,39000,0,Italy
6,32000,1,Spain
15,60000,0,Finland
3,30000,0,Greece
13,62500,0,France
1,68656,0,United Kingdom
1,30000,0,United Kingdom
8,87280,0,United Kingdom
1,36000,0,France
10,60000,0,United Kingdom
9,35000,0,Romania
5,51277,0,United Kingdom
3,20000,0,Poland
15,57400,0,Austria
3,15000,0,Germany
15,76000,0,Ireland
2,55000,0,Germany
10,49095,0,United Kingdom
6,38400,0,Estonia
1,33500,0,Sweden
3,21500,0,Italy
4,29860,0,United Kingdom
10,63207,0,United Kingdom
3,34000,0,Poland
3,17180,0,Croatia
2,38000,0,Netherlands
12,59000,0,France
12,114800,0,Switzerland
8,60000,0,United Kingdom
4,41760,0,Belgium
2,47601,0,Norway
1,31800,0,Sweden
10,72000,0,Netherlands
1,48000,1,Sweden
6,27000,0,Finland
15,35000,0,Italy
8,150000,0,United Kingdom
5,49200,0,Germany
7,44479,0,Netherlands
2,12600,0,Greece
2,70000,0,Germany
2,25000,0,Italy
1,39000,0,France
5,55000,0,Germany
2,16000,0,Poland
9,36830,0,Czech Republic
9,36000,0,Slovakia
10,39000,0,Netherlands
5,60000,0,Germany
3,38400,0,Germany
10,32000,0,France
2,39000,0,Denmark
13,57000,0,France
18,70000,0,Germany
0,28334,0,United Kingdom
4,31000,0,United Kingdom
14,36000,0,Lithuania
10,40000,0,Lithuania
3,39276,0,United Kingdom
17,59938,0,United Kingdom
5,111841,0,Poland
1,32000,0,France
5,45000,0,Netherlands
25,110000,0,Norway
17,63000,0,Czech Republic
17,36000,0,Ireland
4,63207,0,United Kingdom
6,38200,0,Romania
6,41800,0,Netherlands
1,21000,0,United Kingdom
12,43640,0,United Kingdom
15,49200,0,Sweden
4,59000,0,Germany
6,44400,0,Germany
4,50000,0,France
13,64000,0,Norway
5,31200,0,Lithuania
1,58000,0,Norway
4,40000,0,France
10,75000,0,United Kingdom
17,75000,0,Germany
7,70500,0,Sweden
2,45000,0,Germany
4,11642,0,Spain
8,50480,0,Sweden
10,61000,0,Ireland
5,31000,0,Netherlands
2.5,53000,0,United Kingdom
7,60555,0,Sweden
1,35000,0,Netherlands
2,49800,0,Sweden
10,108000,0,United Kingdom
13,60000,0,Czech Republic
3,80000,0,Switzerland
10,102000,0,Czech Republic
16,46315,0,United Kingdom
6,100000,0,Denmark
4,64800,0,Denmark
10,50000,0,Romania
6,47641,0,Sweden
9,62000,0,Germany
17,30000,0,Italy
6,31000,0,Portugal
5,15000,0,Lithuania
9,26675,0,Poland
8,40000,0,Italy
6,50500,0,Sweden
2,26000,0,United Kingdom
4,47902,0,Sweden
10,27000,0,United Kingdom
1,36000,0,Germany
5,38000,0,Italy
15,134449,0,Denmark
15,75000,0,France
4,44047,1,Denmark
15,45000,0,Austria
3,18000,0,Hungary
5,50000,0,Germany
4,70000,0,Sweden
5,15700,0,Slovakia
10,65000,0,Netherlands
4,31505,0,Sweden
5,94000,0,Switzerland
8,40000,0,Netherlands
2,55000,1,France
15,30000,0,Greece
8,65000,0,Netherlands
10,50000,0,Spain
2,32112,1,Ireland
3,60000,0,Austria
8.5,54000,0,Netherlands
3,54489,0,United Kingdom
5,55000,0,United Kingdom
8,120000,0,Ireland
1,30000,0,Netherlands
5,40000,0,Lithuania
5,40990,0,Poland
2.5,41000,0,Austria
10,35000,0,Slovenia
18,26000,0,Spain
17,53355,0,United Kingdom
10,80000,0,Germany
2,16000,0,Portugal
5,32000,0,Spain
3,95000,0,Ireland
3,33000,1,Netherlands
8,65000,0,Spain
0,101349,0,United Kingdom
7,40000,0,Romania
0.5,35000,0,Ireland
10,36000,0,Portugal
6,74000,0,Ireland
2,43000,0,United Kingdom
3,50000,0,Malta
9,70000,0,Netherlands
5,76289,0,Switzerland
0.5,18500,0,Romania
5,48057,0,Poland
6,42000,0,United Kingdom
4,19579,0,Croatia
5,30000,0,Slovakia
10,32000,0,Italy
9,40000,0,Austria
9,95000,0,Ireland
5,30000,1,Ireland
6,78000,0,Germany
23,55000,0,Italy
10,72000,0,Germany
2,41800,0,Italy
10,92000,0,Denmark
1.5,27244,1,United Kingdom
5,37000,0,Poland
3,18584,0,Poland
2,44000,0,France
21,65000,0,Czech Republic
3.5,27600,0,Bulgaria
20,120000,0,Germany
15,72000,0,Belgium
8,27000,0,Serbia
7,250000,1,Sweden
10,30000,0,Italy
6,42000,0,Germany
3,68500,0,Denmark
20,31000,0,Hungary
4,40000,0,Germany
10,33800,0,Italy
3,41000,1,United Kingdom
2,19100,0,Czech Republic
5,53000,0,France
5,39200,0,Austria
2,22000,0,Romania
9,38340,0,Estonia
0,16000,0,Spain
4,62000,0,Germany
2.5,35000,0,Finland
12,50000,0,France
1,30341,0,United Kingdom
5,45000,0,United Kingdom
1,44000,0,Germany
3,25800,0,Serbia
18,81000,0,Norway
10,70000,0,Slovenia
7,84000,0,France
10,32000,0,Hungary
2,31000,0,Italy
3,40000,0,Germany
5,56000,0,Germany
10,38000,0,Malta
15,87689,0,Switzerland
4,30000,0,Spain
10,15400,0,Greece
3,51000,0,Germany
7,16000,0,Spain
7.5,42000,0,Netherlands
8,45500,0,Austria
5,27580,0,Hungary
10,37700,0,Poland
7,40000,0,Spain
10,175000,0,United Kingdom
10,261546,2,United Kingdom
0.5,42000,0,Germany
21,59000,0,Germany
2,48000,0,Germany
1,52000,0,Germany
15,56000,0,Poland
6,43400,0,Greece
10,120000,0,Germany
14,36000,0,Poland
10,46000,0,Finland
3,34873,0,United Kingdom
4,82000,0,United Kingdom
6,70000,0,Germany
5,71380,0,United Kingdom
10,30000,0,Poland
20,42000,0,Bulgaria
1,20700,0,Portugal
2,31680,0,France
2.5,46000,0,France
13,43000,0,Slovenia
3,30000,0,Italy
12,62000,0,Romania
10,100000,0,Switzerland
7,47250,0,Spain
10,80000,0,United Kingdom
16,103000,0,Ireland
2,38000,0,Finland
7,57000,0,Germany
6,27000,0,Italy
6,54000,0,Poland
13,48000,0,Italy
10,29683,0,Hungary
6,76800,1,Ireland
6,48000,0,Germany
1.5,50000,0,Germany
5,32000,0,Estonia
3,42000,0,France
10,75000,0,Spain
9,90000,0,Switzerland
4,54647,0,Czech Republic
4,25000,0,Spain
6,70000,0,United Kingdom
